id,school_name,school_address,school_popularity,school_websit,jainjie
330,西安交通大学,陕西西安市,陕西西安市人气值:13332265,"官方网址：http://zs.xjtu.edu.cn/http://www.xjtu.edu.cn/
官方电话：029-82668320
电子邮箱：xjtuzs@mail.xjtu.edu.cn",西安交通大学是我国最早兴办、享誉海内外的著名高等学府，是教育部直属重点大学。西迁以来，一代代交大人扎根西部、服务国家，为西部发展和国家建设作出了卓越贡献，以实际行动铸就了第一批纳入中国共产党人精神谱系的西迁精神。2017年12月，习近平总书记对学校15位老教授来信作出重要指示。在2018年新年贺词中，习近平总书记...更多>
104,中山大学,广东广州市,广东广州市人气值:25727569,"官方网址：http://admission.sysu.edu.cnhttps://www.sysu.edu.cn/
官方电话：020-84036491
电子邮箱：adado@mail.sysu.edu.cn",中山大学是伟大的民族英雄、伟大的爱国主义者、中国民主革命的伟大先驱孙中山先生于1924年亲手创办，中国共产党早期领导人共同创建的大学，是中国传播马克思主义的重要发源地之一，具有鲜亮红色基因、追求卓越品格和爱国奋斗精神。中山大学起初校名为国立广东大学。孙中山先生逝世后，学校于1926年定名为国立中山大学。今日的...更多>
52,北京师范大学,北京海淀区,北京海淀区人气值:11917463,"官方网址：https://admission.bnu.edu.cn/http://www.bnu.edu.cn
官方电话：010-58807962
电子邮箱：zsb@bnu.edu.cn",北京师范大学是教育部直属重点大学，是一所以教师教育、教育科学和文理基础学科为主要特色的著名学府。学校的前身是1902年创立的京师大学堂师范馆，1908年改称京师优级师范学堂，独立设校，1912年改名为北京高等师范学校。1923年学校更名为北京师范大学，成为中国历史上第一所师范大学。1931年、1952年北平女子师范大学、辅仁...更多>
48,北京邮电大学,北京海淀区,北京海淀区人气值:16133990,"官方网址：https://zsb.bupt.edu.cn/#1307http://www.bupt.edu.cn
官方电话：010-62282045,010-62285045,010-62280945,010-62289945
电子邮箱：zsb@bupt.edu.cn",六十余载风雨砥砺，六十余载春华秋实。明光之北、蓟门之南，古老的城墙，见证了永不消逝的电波；鸿雁翱翔、银杏巍巍，坚实的土地，承载了信息黄埔的传奇。北京邮电大学是教育部直属、工业和信息化部共建、首批进行“211工程”建设的全国重点大学，是“985优势学科创新平台”项目重点建设高校，是一所以信息科技为特色、...更多>
1457,哈尔滨工业大学（威海）,山东威海市,山东威海市人气值:2718705,"官方网址：https://zsb.hitwh.edu.cn/https://www.hitwh.edu.cn/
官方电话：0631-5689455,0631-5687186
电子邮箱：zsb@mail.hitwh.edu.cn",哈尔滨工业大学（以下简称哈工大）始建于1920年，1951年被确定为全国学习国外高等教育办学模式的两所样板大学之一，1954年进入国家首批重点建设的6所高校行列，被誉为“工程师的摇篮”。学校于1996年进入国家“211工程”首批重点建设高校，1999年被确定为国家首批“985工程”重点建设的9所大学之一，2000年与哈尔滨建筑大学合并组建新的...更多>
109,东南大学,江苏南京市,江苏南京市人气值:15147524,"官方网址：https://zsb.seu.edu.cn/http://www.seu.edu.cn/
官方电话：400-6910286,025-52090271
电子邮箱：zhaoban@seu.edu.cn",东南大学坐落于六朝古都南京，是享誉海内外的著名高等学府。学校是国家教育部直属并与江苏省共建的全国重点大学，是国家“985工程”和“211工程”重点建设大学之一。2017年，东南大学入选世界一流大学建设A类高校名单。东南大学是一所历史悠久、底蕴深厚的大学。学校创建于1902年的三江师范学堂，后历经两江师范学堂、南京...更多>
131,华东师范大学,上海闵行区,上海闵行区人气值:11500887,"官方网址：https://zsb.ecnu.edu.cn/https://www.ecnu.edu.cn/
官方电话：021-62232212
电子邮箱：zsb@ecnu.edu.cn",华东师范大学是由国家举办、教育部主管，教育部与上海市人民政府重点共建的综合性研究型大学。学校成立于1951年10月16日，是以大夏大学（1924年）、光华大学（1925年）为基础，同时调进圣约翰大学、复旦大学、同济大学和浙江大学等高校的部分系科，在大夏大学原址上创办的。1959年学校被中共中央确定为全国16所重点院校之一。197...更多>
127,华中科技大学,湖北武汉市,湖北武汉市人气值:19033745,"官方网址：http://zsb.hust.edu.cn/http://www.hust.edu.cn/
官方电话：027-87542228,027-87559946
电子邮箱：zs@hust.edu.cn",华中科技大学是国家教育部直属重点综合性大学，由原华中理工大学、同济医科大学、武汉城市建设学院于2000年5月26日合并成立，是国家“211工程”重点建设和“985工程”建设高校之一，是首批“双一流”建设高校。学校校园占地7000余亩，园内树木葱茏，碧草如茵，环境优雅，景色秀丽，绿化覆盖率72%，被誉为“森林式大学”。学校...更多>
130,上海财经大学,上海杨浦区,上海杨浦区人气值:11986385,"官方网址：https://zs.sufe.edu.cn/https://www.sufe.edu.cn/
官方电话：021-65904372
电子邮箱：zb@mail.shufe.edu.cn",上海财经大学源于1917年南京高等师范学校创办的商科，著名社会活动家、爱国民主人士杨杏佛任商科主任。1921年，随着以南京高等师范学校为基础建设国立东南大学计划的实施，商科扩充改组并迁址上海，成立国立东南大学分设上海商科大学，这是中国教育史上最早的商科大学，著名教育家郭秉文任校长，著名经济学家马寅初任教务主任...更多>
107,西北工业大学,陕西西安市,陕西西安市人气值:13032216,"官方网址：http://zsb.nwpu.edu.cnhttps://www.nwpu.edu.cn/
官方电话：029-88460206,029-88492310
电子邮箱：ao@nwpu.edu.cn",西北工业大学（简称西工大）坐落于陕西西安，是一所以发展航空、航天、航海等领域人才培养和科学研究为特色的多科性、研究型、开放式大学，是国家“双一流”建设高校，隶属于工业和信息化部。学校1960年被国务院确定为全国重点大学，“七五”“八五”均被国务院列为国家重点建设高校之一，1995年首批进入“211工程”，2001年进入“9...更多>
102,厦门大学,福建厦门市,福建厦门市人气值:41640580,"官方网址：https://zsb.xmu.edu.cn/https://www.xmu.edu.cn/
官方电话：0592-2188888,0592-2180256
电子邮箱：zs@xmu.edu.cn","厦门大学（XiamenUniversity），简称厦大(XMU)，由著名爱国华侨领袖陈嘉庚先生于1921年创办,是中国近代教育史上第一所华侨创办的大学。在建校100周年之际，中共中央总书记、国家主席、中央军委主席习近平向学校发来贺信。贺信指出，厦门大学是一所具有光荣传统的大学。100年来，学校秉持爱国华侨领袖陈嘉庚先生的立校志向，形成了...更多>"
566,中央财经大学,北京海淀区,北京海淀区人气值:9652228,"官方网址：http://zs.cufe.edu.cnhttp://www.cufe.edu.cn/
官方电话：010-62288332
电子邮箱：zsb@cufe.edu.cn",中央财经大学是教育部、财政部和北京市人民政府共建的教育部直属高校，是国家“双一流”建设、“211工程”建设和首批“优势学科创新平台”项目建设高校。学校始建于1949年11月6日，创办之初由财政部主管，历经中央税务学校、中央财政学院、中央财经学院、中央财政金融学院等发展阶段，1996年更名为中央财经大学，2000年由财政部划转...更多>
60,天津大学,天津南开区,天津南开区人气值:18225149,"官方网址：http://zs.tju.edu.cn/http://www.tju.edu.cn/
官方电话：022-60316985,022-27405486
电子邮箱：tdzb@tju.edu.cn",天津大学（TianjinUniversity），简称天大，其前身为北洋大学，始建于1895年10月2日，是中国第一所现代大学，开中国近代高等教育之先河。“甲午战争”失败后，学校在“自强之道以作育人才为本，求才之道以设立学堂为先”的办学宗旨下，由清光绪皇帝御笔朱批，创建于天津，由盛宣怀任首任督办。学校初名北洋大学堂，内设头等学...更多>
138,大连理工大学,辽宁大连市,辽宁大连市人气值:16053719,"官方网址：http://zs.dlut.edu.cn/http://www.dlut.edu.cn/
官方电话：0411-84708375
电子邮箱：bzb@dlut.edu.cn",大连理工大学是中国共产党在新中国成立前夕，面向新中国工业体系建设亲手创办的第一所新型正规大学。大连理工大学是教育部直属全国重点大学，是国家“211工程”和“985工程”重点建设高校，也是世界一流大学A类建设高校。学校以培养精英人才、促进科技进步、传承优秀文化、引领社会风尚为宗旨，秉承“海纳百川、自强不息...更多>
57,西安电子科技大学,陕西西安市,陕西西安市人气值:12883024,"官方网址：http://zsb.xidian.edu.cnhttps://www.xidian.edu.cn/
官方电话：029-88202335,029-88204236
电子邮箱：zsb@mail.xidian.edu.cn",西安电子科技大学是以电子与信息学科为特色，工、理、管、文、经等多学科协调发展的全国重点大学，直属教育部。目前有南、北两个校区，总占地面积3945.33亩，校舍建筑面积142.33万平方米。学校前身是1931年诞生于江西瑞金的中央革命军事委员会无线电学校，是毛泽东等老一辈革命家亲手创建的我党我军第一所工程技术学校，延续...更多>
53,对外经济贸易大学,北京朝阳区,北京朝阳区人气值:10238166,"官方网址：http://zhaosheng.uibe.edu.cnhttp://www.uibe.edu.cn/
官方电话：010-64492178
电子邮箱：zhaosheng@uibe.edu.cn",对外经济贸易大学（UniversityofInternationalBusinessandEconomics）是教育部直属高校，教育部与商务部共建高校，首批国家“双一流”建设和首批“211工程”建设高校。对外经济贸易大学办学历史悠久，是新中国第一所培养对外贸易专门人才的高等学府，创建于1951年，前身为隶属于中央人民政府贸易部的高级商业干部学校。1953年更名为北京对外贸...更多>
