id,name,address,info,img
330,清华大学,北京市海淀区,物理类本科批普通类双一流最低分/最低位次：633/2255,https://static-data.gaokao.cn/upload/logo/330.jpg
104,中山大学,广东广州市,物理类本科批普通类双一流最低分/最低位次：630/2533,https://static-data.gaokao.cn/upload/logo/104.jpg
52,北京师范大学,北京市海淀区,物理类本科批普通类双一流最低分/最低位次：630/2533,https://static-data.gaokao.cn/upload/logo/52.jpg
48,北京邮电大学,北京市海淀区,物理类本科批普通类双一流最低分/最低位次：630/2533,https://static-data.gaokao.cn/upload/logo/48.jpg
1457,哈尔滨工业大学（威海）,山东威海市,物理类本科批普通类双一流最低分/最低位次：629/2609,https://static-data.gaokao.cn/upload/logo/1457.jpg
109,东南大学,江苏南京市,物理类本科批普通类双一流最低分/最低位次：628/2711,https://static-data.gaokao.cn/upload/logo/109.jpg
131,华东师范大学,上海市闵行区,物理类本科批普通类双一流最低分/最低位次：627/2814,https://static-data.gaokao.cn/upload/logo/131.jpg
127,华中科技大学,湖北武汉市,物理类本科批普通类双一流最低分/最低位次：626/2912,https://static-data.gaokao.cn/upload/logo/127.jpg
130,上海财经大学,上海市杨浦区,物理类本科批普通类双一流最低分/最低位次：624/3142,https://static-data.gaokao.cn/upload/logo/130.jpg
107,西北工业大学,陕西西安市,物理类本科批普通类双一流最低分/最低位次：624/3142,https://static-data.gaokao.cn/upload/logo/107.jpg
102,厦门大学,福建厦门市,物理类本科批普通类双一流最低分/最低位次：623/3266,https://static-data.gaokao.cn/upload/logo/102.jpg
566,中央财经大学,北京市海淀区,物理类本科批普通类双一流最低分/最低位次：623/3266,https://static-data.gaokao.cn/upload/logo/566.jpg
60,天津大学,天津市南开区,物理类本科批普通类双一流最低分/最低位次：622/3396,https://static-data.gaokao.cn/upload/logo/60.jpg
138,大连理工大学,辽宁大连市,物理类本科批普通类双一流最低分/最低位次：621/3539,https://static-data.gaokao.cn/upload/logo/138.jpg
57,西安电子科技大学,陕西西安市,物理类本科批普通类双一流最低分/最低位次：621/3539,https://static-data.gaokao.cn/upload/logo/57.jpg
53,对外经济贸易大学,北京市朝阳区,物理类本科批普通类双一流最低分/最低位次：620/3673,https://static-data.gaokao.cn/upload/logo/53.jpg
105,华南理工大学,广东广州市,物理类本科批普通类双一流最低分/最低位次：613/4622,https://static-data.gaokao.cn/upload/logo/105.jpg
569,中国政法大学,北京市昌平区,物理类本科批普通类双一流最低分/最低位次：609/5212,https://static-data.gaokao.cn/upload/logo/569.jpg
38,北京交通大学,北京市海淀区,物理类本科批普通类双一流最低分/最低位次：605/5898,https://static-data.gaokao.cn/upload/logo/38.jpg
